"","artist","genres","image","popularity","followers","language","circle","new_image_path"
"11","Last Child","['indonesian pop punk', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5eb4ffc34bf9985731438cc1b99",69,4221712,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a45d1b2ad6.png","last_child.png"
"12","Tiara Andini","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebd3849cb8ebee1304faf20241",74,3697436,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a445e35aed.png","tiara_andini.png"
"13","Raisa","['indonesian pop', 'indonesian r&b', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb6c354a6d75cabef8ab59b8aa",62,3671359,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a450705c77.png","raisa.png"
"14","Dewa 19","['classic indonesian rock', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5eb96bfa9ff288138f3432e0fa4",68,3614121,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a413613b96.png","dewa_19.png"
"15","Payung Teduh","['indonesian folk', 'indonesian indie', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5ebfc58f42abb126bbe177239cf",65,3390234,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a424b3d9e.png","payung_teduh.png"
"16","Noah","['indonesian alternative rock']","https://i.scdn.co/image/ab6761610000e5eba8b9d7396c353b8d651d8641",62,3161724,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a434febc2.png","noah.png"
"17","Lyodra","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebff5fc12455c7d8bff69fc53e",69,3060976,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a465fc3c2e.png","lyodra.png"
"18","Bunga Citra Lestari","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb830d0e856b72be52d994f588",61,3056069,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a449a874f8.png","bunga_citra_lestari.png"
"19","Fourtwnty","['indonesian folk', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5ebd56a4e114e63de49e1458707",62,2830641,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a42bfa7f8e.png","fourtwnty.png"
"20","Denny Caknan","['dangdut', 'javanese dangdut', 'lagu jawa']","https://i.scdn.co/image/ab6761610000e5eb47d206465b8e31e2f49e3ba0",66,2791571,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a470b71882.png","denny_caknan.png"
"21","Glenn Fredly","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebf6284a310a10b07852e358cd",63,2781900,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4327b66f1.png","glenn_fredly.png"
"22","Armada","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eba91a44cc797cd297d7c5aba2",62,2776218,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a45f201fcf.png","armada.png"
"23","Peterpan","['dangdut koplo']","https://i.scdn.co/image/ab6761610000e5eb19fd0c20ed2bed2ea04754cf",62,2702811,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a464413cdb.png","peterpan.png"
"24","Keisya Levronka","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb564e80739956f888f879a5cb",65,2517915,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a454eb2c15.png","keisya_levronka.png"
"25","Feby Putri","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebab57b1cb1016bbd9cb26e4bf",69,2486265,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a479b743e1.png","feby_putri.png"
"26","Ungu","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eba2a9813d741a6bdb31bbf79c",60,2330606,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a46e7693a.png","ungu.png"
"27","Via Vallen","['dangdut', 'dangdut koplo', 'javanese dangdut', 'lagu jawa']","https://i.scdn.co/image/ab6761610000e5eba40473c927de6188b274935b",48,2305367,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4503cb0.png","via_vallen.png"
"28","Hindia","[]","https://i.scdn.co/image/ab6761610000e5eb324cea967a456ee680bf6b92",68,2002702,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4509c47f5.png","hindia.png"
"29","Yura Yunita","['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5ebc6b4cc16a247c71c2bfc475f",67,1985994,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a44bbf6550.png","yura_yunita.png"
"30","Afgan","['indonesian pop', 'malaysian pop']","https://i.scdn.co/image/ab6761610000e5eb4f59eba8459e76b5da830597",67,1954021,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a442812331.png","afgan.png"
